Job,Date,Clocked In,Clocked Out,Duration,Hourly Rate,Earnings
Mover,2024-05-06,9:00,10:15,1.25,16.0,20.0
Mover,2024-05-08,8:15,13:00,4.75,16.0,76.0
Mover,2024-05-10,6:22,17:15,10.88,16.0,174.13
Mover,2024-05-15,7:50,17:30,9.67,16.0,154.67
Music Teacher,2024-06-11,15:30,18:45,3.25,18.5,60.12
Music Teacher,2024-06-21,14:00,15:30,1.5,18.5,27.75
Music Teacher,2024-06-24,8:45,12:30,3.75,18.5,69.38
Music Teacher,2024-06-25,8:45,12:30,3.75,18.5,69.38
Music Teacher,2024-06-26,8:45,12:30,3.75,18.5,69.38
Music Teacher,2024-06-27,8:45,12:30,3.75,18.5,69.38
Music Teacher,2024-06-27,8:45,12:30,3.75,18.5,69.38
Music Teacher,2024-07-08,8:45,12:30,3.75,18.5,69.38
Music Teacher,2024-07-09,8:45,12:30,3.75,18.5,69.38
Music Teacher,2024-07-10,8:45,12:30,3.75,18.5,69.38
Music Teacher,2024-07-11,8:45,12:30,3.75,18.5,69.38
Music Teacher,2024-07-12,8:45,12:30,3.75,18.5,69.38
Music Teacher,2024-07-20,3:30,16:00,0.5,18.5,9.25
Music Teacher,2024-07-22,8:45,12:30,3.75,18.5,69.38
Music Teacher,2024-07-23,8:45,12:30,3.75,18.5,69.38
Music Teacher,2024-07-24,8:45,12:30,3.75,18.5,69.38
Music Teacher,2024-07-25,8:45,12:30,3.25,18.5,60.12
Music Teacher,2024-07-29,8:45,12:30,3.75,18.5,69.375
Music Teacher,2024-07-30,8:45,12:30,3.75,18.5,69.375
Music Teacher,2024-07-31,8:45,12:30,3.75,18.5,69.375
Music Teacher,2024-08-01,8:45,12:30,3.75,18.5,69.375
Music Teacher,2024-08-02,8:45,12:30,3.75,18.5,69.375
Music Teacher,2024-08-06,12:00,15:30,3.5,18.5,64.75
Music Teacher,2024-08-08,12:30,16:00,3.5,18.5,64.75
Music Teacher,2024-08-12,8:45,12:30,3.75,18.5,69.375
